neck_angle,shoulder_tilt,spine_lean_angle,forward_head_offset,shoulder_hip_alignment,ear_shoulder_dist,shoulder_symmetry,lateral_lean,label_raw,label,subject
168.3302,5.3409,175.7961,1.0112,168.3302,0.0778,0.9432,3.3043,TLF,Forward Lean,1
169.912,5.3426,176.0043,0.8299,169.912,0.0782,0.9421,3.1413,TLF,Forward Lean,1
170.6368,5.4987,175.9265,0.7422,170.6368,0.0805,0.9393,3.2,TLF,Forward Lean,1
169.6359,5.7102,175.7243,0.8851,169.6359,0.0834,0.9367,3.354,TLF,Forward Lean,1
169.7956,5.8031,175.7218,0.945,169.7956,0.0915,0.9349,3.357,TLF,Forward Lean,1
169.5813,5.9371,175.7263,0.9942,169.5813,0.0929,0.9322,3.3491,TLF,Forward Lean,1
169.1389,5.9951,175.6262,1.091,169.1389,0.0966,0.9319,3.428,TLF,Forward Lean,1
168.7687,6.0725,175.5847,1.1654,168.7687,0.0982,0.9308,3.4581,TLF,Forward Lean,1
168.9274,6.0917,175.5736,1.1373,168.9274,0.0983,0.9306,3.4673,TLF,Forward Lean,1
169.1698,6.1434,175.6119,1.1015,169.1698,0.0982,0.9292,3.4353,TLF,Forward Lean,1
169.578,6.0517,175.3837,0.8834,169.578,0.0873,0.9208,3.5389,TLF,Forward Lean,1
168.8284,6.1129,175.3784,0.9687,168.8284,0.0849,0.9207,3.531,TLF,Forward Lean,1
179.7051,5.2635,175.0432,-0.7183,179.7051,0.0884,0.9241,3.6638,TLF,Forward Lean,1
175.5,4.8409,175.6219,0.0184,175.5,0.0863,0.9333,3.254,TLF,Forward Lean,1
173.7965,4.4927,175.773,0.2943,173.7965,0.0853,0.9418,3.1844,TLF,Forward Lean,1
173.6012,4.321,175.6616,0.3297,173.6012,0.0917,0.9474,3.2789,TLF,Forward Lean,1
172.2684,4.423,175.5095,0.5303,172.2684,0.0938,0.9466,3.3972,TLF,Forward Lean,1
171.8184,4.4775,175.2857,0.5802,171.8184,0.0959,0.9468,3.5782,TLF,Forward Lean,1
171.7877,4.5391,175.2568,0.5805,171.7877,0.0959,0.9457,3.6011,TLF,Forward Lean,1
171.7253,4.5322,175.2483,0.5927,171.7253,0.0965,0.9464,3.614,TLF,Forward Lean,1
